date,count
May 2017,144403
Apr 2017,479
Jul 2015,411
Mar 2017,359
Jan 2017,334
Feb 2017,322
Dec 2016,118
Sep 2016,98
Nov 2016,83
Aug 2016,65
Oct 2016,46
Jul 2016,45
Oct 2013,37
May 2016,24
Apr 2016,12
May 2014,9
Mar 2016,8
May 2015,7
Aug 2015,7
Jun 2016,5
Oct 2010,3
Oct 2015,3
Dec 2015,2
Mar 2014,2
Jan 2016,2
Feb 2016,2
Nov 2014,1
Nov 2015,1
May 2011,1
Sep 2015,1
Aug 2012,1
Mar 2011,1
