,created_at,favorite_count,favorited,id_str,is_quote_status,lang,place|bounding_box|coordinates|0|0|0,place|bounding_box|coordinates|0|0|1,place|bounding_box|coordinates|0|1|0,place|bounding_box|coordinates|0|1|1,place|bounding_box|coordinates|0|2|0,place|bounding_box|coordinates|0|2|1,place|bounding_box|coordinates|0|3|0,place|bounding_box|coordinates|0|3|1,place|bounding_box|type,place|country,place|country_code,place|full_name,place|id,place|name,place|place_type,place|url,retweet_count,retweeted,text,timestamp_ms
0,Fri Apr 14 18:58:21 +0000 2017,0,False,852959226557235206,False,en,-92.695547,32.496312,-92.695547,32.577488,-92.572122,32.577488,-92.572122,32.496312,Polygon,United States,US,"Ruston, LA",35a6dd7f550504c4,Ruston,city,https://api.twitter.com/1.1/geo/id/35a6dd7f550504c4.json,0,False,i swear people believe what they wanna believe 😂🤦🏽‍♀️,1492196301484
1,Fri Apr 14 18:58:21 +0000 2017,0,False,852959227354152960,False,en,-74.463243,40.594821,-74.463243,40.64434,-74.382785,40.64434,-74.382785,40.594821,Polygon,United States,US,"Plainfield, NJ",c735e25ad03113d5,Plainfield,city,https://api.twitter.com/1.1/geo/id/c735e25ad03113d5.json,0,False,Oh god.,1492196301674
