,favorite_count,favorited,id_str,is_quote_status,lang,place,retweet_count,retweeted,text,timestamp_ms
614,0,False,852210445851250688,False,en,"North Carolina, USA",0,False,"I'm at Sheer Designs in Harbinger, NC https://t.co/mCiTKTSV6p",2017-04-12 17:22:58.252
615,0,False,852210448191672320,False,en,"Los Angeles, CA",0,False,Had fun at last game of the season! Lakers won! Go Lakers! #Lakers #cousins❤️ #cousins @ Staples… https://t.co/jMokYBrpGG,2017-04-12 17:22:58.810
616,0,False,852210443909160960,False,en,"Arroyo Grande, CA",0,False,"We're #hiring! Read about our latest #job opening here: Shift Supervisor Management Trainee - https://t.co/hiXmU1tVGt #ArroyoGrande, CA",2017-04-12 17:22:57.789
617,0,False,852210448309133312,False,en,"Louisville, KY",0,False,"#BlackPantherandtheCrew is a solid comic, but has some issues..https://t.co/ASSMzisRBi",2017-04-12 17:22:58.838
618,0,False,852210447579136000,False,en,"Palmdale, CA",0,False,If Tony romo is able to get on the court lebron should be able to get on the field,2017-04-12 17:22:58.664
619,0,False,852210447747092480,False,en,"Fort Washington, MD",0,False,Potomac Plaza for lunch. What about your job😂😂😂 @ MGM National… https://t.co/ZQtG3pqA7S,2017-04-12 17:22:58.704
620,0,False,852210443464691712,False,en,"Brooklyn, NY",0,False,"@charliemurphy Thanks for teaching me that Cocaines a hell of a drug,&amp; to not play prince in ball #RIPDARKNESS https://t.co/Q3kuNmmFlw",2017-04-12 17:22:57.683
621,0,False,852210447247978496,False,en,"Minneapolis, MN",0,False,Coming to Amalgamated MPLS April 28th &amp; 29th plus exclusive Stencil Workshop April 26th.  More details at… https://t.co/DCJgEUvHyk,2017-04-12 17:22:58.585
622,0,False,852210448275562496,False,en,"Michigan, USA",0,False,United CEO says airline won't use police to remove passengers from planes  https://t.co/NXTKWrsGGC #LiveOn66 @united,2017-04-12 17:22:58.830
623,0,False,852210443779047424,False,en,"Manhattan, NY",0,False,"We're #hiring! Click to apply: Remote Marketing Manager - https://t.co/ZP311hn4TX #KellyJobs #KellyServices #Marketing #NewYork, NY #Job",2017-04-12 17:22:57.758
624,0,False,852210444202909696,False,en,"Highland Heights, KY",0,False,Screaming @BVB,2017-04-12 17:22:57.859
625,0,False,852210446115512320,False,en,"State College, PA",0,False,"brb, currently throwing up :-) happy wednesday https://t.co/B5na8ROswA",2017-04-12 17:22:58.315
626,0,False,852210448921497600,True,en,"Dublin, OH",0,False,This is hilarious! https://t.co/0k5GEPWicp,2017-04-12 17:22:58.984
627,0,False,852210444051894272,False,en,"Chapel Hill, NC",0,False,Rickie Weeks will never go out of style #openingsalvo #HR https://t.co/hnv2OhCR0t,2017-04-12 17:22:57.823
628,0,False,852210448149733376,True,en,"Arlington, TX",0,False,I must be avaient because that's all I want to do🤷🏼‍♀️🍷 https://t.co/6r0RkS02Ki,2017-04-12 17:22:58.800
629,0,False,852210448527220736,False,en,"Denton, TX",0,False,This man tweeted 4 hours ago...you can be gone just like that,2017-04-12 17:22:58.890
630,0,False,852210449722613760,True,en,"Boulder, CO",0,False,FUCKING HONESTLY https://t.co/bqMx5Q1bDw,2017-04-12 17:22:59.175
631,0,False,852210447474405376,False,en,"New York, USA",0,False,Two-run double for Barker. Pembroke trails 7-0 still not out of the first inning #Baseball,2017-04-12 17:22:58.639
632,0,False,852210449496121344,True,en,"Little Rock, AR",0,False,Thank you! https://t.co/UYbTVtsj7X,2017-04-12 17:22:59.121
633,0,False,852210449965883392,False,en,"Michigan, USA",0,False,RIP CHARLIE MURRRRRRPHY,2017-04-12 17:22:59.233
634,0,False,852210450502733824,False,en,"Allendale, MI",0,False,"The last four years have been such a whirlwind, and have gone by way… https://t.co/dVbig7N95Z",2017-04-12 17:22:59.361
635,0,False,852210451375116288,False,en,"Texas, MI",0,False,"30 questions for spanish class, write email to professor, fill out application for summer job and i need to workout.",2017-04-12 17:22:59.569
636,0,False,852210446694105088,False,en,"Arizona, USA",0,False,"Can you recommend anyone for this #job in #Glendale, AZ? https://t.co/tBUP1ILpJK #momswhowork #workingmoms… https://t.co/nNMpRTPi2l",2017-04-12 17:22:58.453
637,0,False,852210449777139712,False,en,"Lorain, OH",0,False,Rip Charlie Murphy. A comedy legend and personal inspiration to me.  Sucks.,2017-04-12 17:22:59.188
638,0,False,852210449445666816,False,en,"Irvine, CA",0,False,The way to become nothing is to do nothing-Think&amp; Do! https://t.co/8aWLDlgyN4,2017-04-12 17:22:59.109
639,0,False,852210451492610048,False,en,"Needham, MA",0,False,Made myself a mini version of the fish special that was on Sunday #fish #fishspecial #swordfish… https://t.co/ih9NR3xtTi,2017-04-12 17:22:59.597
640,0,False,852210449332490240,False,en,"Nashville, TN",0,False,"Accident, center lane blocked in #Downtown on 40 EB at 2nd Ave #Nashville #traffic https://t.co/rU1w1uRSkB",2017-04-12 17:22:59.082
641,0,False,852210451765055488,False,en,"Wyoming, USA",0,False,@josieHlynn There will be lots!!!!! No worries :) 💙👶🏼,2017-04-12 17:22:59.662
642,0,False,852210451224174592,False,en,"Grove City, OH",0,False,I bought a chevy. Chevy T top put it on skates.  Dope boi box.,2017-04-12 17:22:59.533
643,0,False,852210452398571520,False,en,"Abilene, TX",0,False,"It burns my biscuits when people type ""would of"" when it is ""would've""",2017-04-12 17:22:59.813
644,0,False,852210450347503616,True,en,"Buffalo, NY",0,False,Go Bulldogs! https://t.co/meOb4CiU2u,2017-04-12 17:22:59.324
645,0,False,852210450691436544,True,en,"Tennessee, USA",0,False,Doesn't matter https://t.co/v9WGo8HHFp,2017-04-12 17:22:59.406
646,0,False,852210451744161792,False,en,"Hampton, VA",0,False,Damn RIP Charlie Murphy,2017-04-12 17:22:59.657
647,0,False,852210453388427264,True,en,"Mobile, AL",0,False,Unfortunately https://t.co/EzY2Bk68tg,2017-04-12 17:23:00.049
648,0,False,852210451505192960,False,en,"Kernersville, NC",0,False,Dixie Plates as low as $1.25 At Lowes Foods!! Use 1/2 RP 4/2 or 150/2 RP select plates #savings #sisters #coupons… https://t.co/800FcdJTlb,2017-04-12 17:22:59.600
649,0,False,852210450703974400,True,en,"Georgia, USA",0,False,feels nice https://t.co/Ypi9qUXmCS,2017-04-12 17:22:59.409
650,0,False,852210451987521536,False,en,"Prairie View, TX",0,False,I hope my people havin they Good Friday dinner 😩😩,2017-04-12 17:22:59.715
651,0,False,852210451412865024,False,en,"Norton, MA",0,False,@Boosterthon fun run about to begin! #webermoriartywarriors @onelife_to_LIV https://t.co/2pJblBWNho,2017-04-12 17:22:59.578
652,0,False,852210453501681664,True,en,"Denton, TX",0,False,How does that make me look like a idiot if I don't tip... https://t.co/Xkzi1GkGU6,2017-04-12 17:23:00.076
653,0,False,852210448636280832,False,en,"Kansas City, MO",0,False,"While y'all are in class 😍 Kansas City, MO https://t.co/S4wBXjNni9",2017-04-12 17:22:58.916
654,0,False,852210451698012160,True,en,"Oakland, CA",0,False,Oh my goodness... https://t.co/zlLo2iiN0x,2017-04-12 17:22:59.646
655,0,False,852210453073862656,False,en,"East Lansing, MI",0,False,Proof that second semester of college is worse than senioritis https://t.co/QE2upNzD32,2017-04-12 17:22:59.974
656,0,False,852210455187607552,False,en,"Florida, USA",0,False,Having the most amazing day #disney #magickingdom #princess… https://t.co/TLKY4g0Vuy,2017-04-12 17:23:00.478
657,0,False,852210451484225536,False,en,"Mobile, AL",0,False,Happy birthday Gordon I hope it's a good'n @JordanSmith11,2017-04-12 17:22:59.595
658,0,False,852210454483017728,False,en,"Ventura, CA",0,False,When the workout playlist so good you're crying on the treadmill thanking god and donating money to charity all at the same time.,2017-04-12 17:23:00.310
659,0,False,852210455728857088,False,en,"Pennsylvania, USA",0,False,"I'm at Target in York, PA https://t.co/6Ur5rFqiBA",2017-04-12 17:23:00.607
660,0,False,852210453073858560,True,en,"Georgia, USA",0,False,Watermelon 🚮🚮 https://t.co/W1CibeapqU,2017-04-12 17:22:59.974
661,0,False,852210454675857408,False,en,"Texas, USA",0,False,"Want to work in #PortArthur, TX? View our latest opening: https://t.co/4air7n56dp #MedField #HospitalJobs… https://t.co/F9XC1tXHWv",2017-04-12 17:23:00.356
662,0,False,852210455913406464,True,en,"Nacogdoches, TX",0,False,"Nah, we chilling. https://t.co/3XMiHwoLfS",2017-04-12 17:23:00.651
663,0,False,852210455280054272,False,en,"Brooklyn, NY",0,False,Happens *every time* I search for the latest @girlsHBO episode to watch. https://t.co/oDkPzYIrFt,2017-04-12 17:23:00.500
664,0,False,852210454202114048,False,en,"New Jersey, USA",0,False,@TriforceMermaid @TheShortyBishop https://t.co/sorhLcWS3Y you're welcome,2017-04-12 17:23:00.243
665,0,False,852210457142337536,False,en,"Torrance, CA",0,False,"I'm at Torrance, CA in CA https://t.co/R1fNGWvacG",2017-04-12 17:23:00.944
666,0,False,852210456756461568,False,en,"Valdosta, GA",0,False,He also said stepmyour money game up so she doesn't have to work night shift 😭😭😭,2017-04-12 17:23:00.852
667,0,False,852210453669457920,False,en,"Columbus, OH",0,False,"Cultivating emotional intelligence starts w/ knowing ""current state."" What are your triggers? -@WoodmarkCabinet CEO… https://t.co/YoPzMik11l",2017-04-12 17:23:00.116
668,0,False,852210456467038208,False,en,"Coweta, OK",0,False,@codyko go to prom with @spookytarjei,2017-04-12 17:23:00.783
669,0,False,852210454357266432,False,en,"Seattle, WA",0,False,@The7Line @Cardinals @The7LineArmy @Mets This will be my first non-ST away outing. Do you guys do a get together on Friday night?,2017-04-12 17:23:00.280
670,0,False,852210457041453056,False,en,"Paradise, NV",0,False,"@joearrigo @Reb4life777 @TheRunninRebels @JeffWaddilove @InsideTheRebels Joe, if you ain't cheating you ain't trying! Lol",2017-04-12 17:23:00.920
671,0,False,852210456420917248,False,en,"Boston, MA",0,False,"@kaleighmulligan My boyfriend really likes his T-Mobile plan! Good price, solid service, and great data/streaming options.",2017-04-12 17:23:00.772
672,0,False,852210457792446464,False,en,"San Francisco, CA",0,False,Opened Graffiti request via android at Intersection of Golden Gate Ave &amp; Jones St https://t.co/mXEY29ZNsp. Grafitti… https://t.co/cuaiJtQKHj,2017-04-12 17:23:01.099
673,0,False,852210453337972736,False,en,"Catalina Foothills, AZ",0,False,"Lush, and in a riparian fold, the landscape rolled up and down with rocky lifts and sandy dips. #Hiking this mornin… https://t.co/8kPGgw8RJa",2017-04-12 17:23:00.037
674,0,False,852210457863528448,False,en,"Portland, OR",0,False,"DISTURBANCE - PRIORITY at NE 50TH AVE / NE SANDY BLVD, PORTLAND, OR [Portland Police #PP17000110187] 10:05 #pdx911",2017-04-12 17:23:01.116
675,0,False,852210456831963136,False,en,"Florida, USA",0,False,Police Investigating Possible Extremist Link To #Dortmund Bus Bomb https://t.co/eHCIPGgFUK via @sbjsbd @UCFDeVosSBM,2017-04-12 17:23:00.870
676,0,False,852210458752950272,False,en,"Coldwater, MI",0,False,Imagine being able to swim and be on the beach and everything else without fear of bleeding through a tampon. Incredible. All hail diva cup,2017-04-12 17:23:01.328
677,0,False,852210457595326464,False,en,"California, USA",0,False,Check out this gorgeous view at hillshighland - Cheers! #winewednesday #drinklocal #sdbeerwine @… https://t.co/VWnFDfMBiG,2017-04-12 17:23:01.052
678,0,False,852210456194301952,False,en,"Southaven, MS",0,False,"Can you recommend anyone for this #job in #Southaven, MS? https://t.co/ohxxLZU1G9 #Retail #Hiring #CareerArc https://t.co/Utukw7P2PJ",2017-04-12 17:23:00.718
679,0,False,852210458757144576,True,en,"Atlanta, GA",0,False,This is a tornado drill. https://t.co/SWwP2dwxhk,2017-04-12 17:23:01.329
680,0,False,852210460329779200,False,en,"Detroit, MI",0,False,"current weather in Detroit: scattered clouds, 51°F
50% humidity, wind 8mph, pressure 1028mb",2017-04-12 17:23:01.704
681,0,False,852210457234493440,False,en,"Oklahoma City, OK",0,False,"Want to work at Mercy? We're #hiring in #OklahomaCity, OK! Click for details: https://t.co/5WExdk7ssy #Nursing #Job… https://t.co/Oea0CQyn7O",2017-04-12 17:23:00.966
682,0,False,852210458497085440,True,en,"Tallahassee, FL",0,False,Damn R.I.P https://t.co/aM4EBjCYNK,2017-04-12 17:23:01.267
683,0,False,852210458962653184,False,en,"Mountain Grove, MO",0,False,Wednesday study session🙄 https://t.co/puk2eeona1,2017-04-12 17:23:01.378
684,0,False,852210459813888000,False,en,"Gresham, OR",0,False,"DISTURBANCE - PRIORITY at SE 162ND AVE / SE STARK ST, PORTLAND, OR [Portland Police #PP17000110161] 09:43 #pdx911",2017-04-12 17:23:01.581
685,0,False,852210459163992064,False,en,"St Louis, MO",0,False,"Ok holly crap, i have so many new projects greenlighted right now it's insane. The monster is officially created. #GOODPROBLEMSAPPARENTLY",2017-04-12 17:23:01.426
686,0,False,852210459889500160,False,en,"Cranston, RI",0,False,"Fuck whoever told you different, Money can definitely buy happiness.",2017-04-12 17:23:01.599
687,0,False,852210463094050816,True,en,"Petersburg, VA",0,False,😔RIP Darkness https://t.co/yANEOAhVtg,2017-04-12 17:23:02.363
688,0,False,852210460762001408,False,en,"Boston, MA",0,False,"'sculptor' is now trending in #Boston

https://t.co/GFaXUujVUS https://t.co/rAhHWOvbvM",2017-04-12 17:23:01.807
689,0,False,852210466625658880,False,en,"De Witt, NY",0,False,Let's make it so free and the bars so hard that ain't one gosh darn part you can't tweet,2017-04-12 17:23:03.205
690,0,False,852210458438377472,True,en,"Lake Charles, LA",0,False,Classics https://t.co/Ze7ZXKNwgH,2017-04-12 17:23:01.253
691,0,False,852210457595322368,False,en,"Morrisville, PA",0,False,everyday i see this and think of @RedChasten https://t.co/jgulkztLZt,2017-04-12 17:23:01.052
692,0,False,852210465962897408,False,en,"Indianapolis, IN",0,False,"Thanks For The Likes, Jessie Taylor 🌹😘❤️️ (@ Community Hospital East - @chnw in Indianapolis, IN) https://t.co/xS6i1XLEhp",2017-04-12 17:23:03.047
693,0,False,852210459226906624,False,en,"Buffalo, NY",0,False,"@pocketsupport I ❤️ pocket. I just recommended it to another co-worker today. now that I have it, I don't know what I would do without it!",2017-04-12 17:23:01.441
694,0,False,852210462175440896,False,en,"Bayonne, NJ",0,False,"So much for those idiots saying Trump would help ⚡️ “Putin says US relations worse under Trump as Tillerson visits”

https://t.co/Q1JmOCb3ly",2017-04-12 17:23:02.144
695,0,False,852210463672872960,False,en,"Tempe, AZ",0,False,Dang we've lost Charlie Murphy :(,2017-04-12 17:23:02.501
696,0,False,852210462234210304,False,en,"Louisville, CO",0,False,"@crewislife ⚡️BAN Fn FAKE @FoxNews #Sexist #Misogynist PIGS⚡️
#FireOReilly
#FireThemAll
#ImpeachTrumpNOW… https://t.co/ngFdiyMcCM",2017-04-12 17:23:02.158
697,0,False,852210463949692928,False,en,"El Dorado, KS",0,False,Don't pretend to know anything about me without asking. You wanna know? You want to understand? Ask me. Don't assume.,2017-04-12 17:23:02.567
